"InvImages","InvRefIDPrefix","InvRefID","InvRefIDSuffix","InvCreationDate","ArtworkStatus::Status","InvTitle","InvPrice","GalleryLocationfor Inventory::GalName","InvHeight","InvWidth","InvDepth","Medium::MedMedium"
"size:1859,1394
image:Art Tracker Paintings/Under The Palapa.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Under The Palapa.jpg",,"56",,2012-02-28,"Available","Under the Palapa",1500,"Mexico Studio",24,30,,"oil on panel
"
"size:388,491
image:Art Tracker Paintings/Very Red Gerbera - 14 x12.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Very Red Gerbera - 14 x12.jpg",,"109",,2012-03-15,,"Very Red Gerberas",,"SOLD",,,,
"size:2304,1660
image:Art Tracker Paintings/View From Cafe Risa - oil on canvas 14 x 20 Unframed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/View From Cafe Risa - oil on canvas 14 x 20 Unframed.jpg",,"7",,2012-02-16,"Sold","View from Cafe Risa",700,,14,18,,"Oil on canvas"
"size:2424,1196
image:Art Tracker Paintings/View From Cates Hill - acrylic on panel 11 x 22.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/View From Cates Hill - acrylic on panel 11 x 22.jpg",,"121",,2012-03-15,,"View From Cates Hill",750,,11,22,,"Acrylic"
"size:491,388
image:Art Tracker Paintings/View from Keats.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/View from Keats.jpg",,"86",,2012-03-13,,"View from Keats",800,,16,20,,"Oil on canvas"
"size:3580,2786
image:Art Tracker Paintings/View of the North Shore - oil on canvas 14 x 18 framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/View of the North Shore - oil on canvas 14 x 18 framed.jpg",,"25",,2012-02-16,"Available","View of the North Shore",800,"Vancouver home",14,18,,"Oil on canvas"
"size:537,446
image:Art Tracker Paintings/Water Dragon - acrylic on canvas 20 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Water Dragon - acrylic on canvas 20 x 24.jpg",,"132",,2012-03-15,,"Water Dragon",1100,,20,24,,"Acrylic"
"size:3683,2895
image:Art Tracker Paintings/Water Truck 2 - oil on panel 20 x 25.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Water Truck 2 - oil on panel 20 x 25.jpg",,"142",,2012-12-08,"Available","Water Truck 2",7200,"GaleriaLaManzanilla",19.5,25,,"oil on panel
"
"size:4150,2580
image:Art Tracker Paintings/West Coast Winter Color - oil on canvas 30 x 48.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/West Coast Winter Color - oil on canvas 30 x 48.jpg",,"122",,2012-03-15,,"West Coast Winter Color",2150,,30,48,,"Oil on canvas"
"size:487,322
image:Art Tracker Paintings/When The Bog Was Burning - oil on canvas 20 x 30.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/When The Bog Was Burning - oil on canvas 20 x 30.jpg",,"126",,2012-03-15,,"When The Bog Was Burning",1450,,20,30,,"Oil on canvas"
"size:2573,2136
image:Art Tracker Paintings/Windy Day - oil on panel 20 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Windy Day - oil on panel 20 x 24.jpg",,"47",,2012-02-25,"Available","Windy Day",,"Mexico Studio",20,24,,"oil on panel
"
"size:223,162
image:Art Tracker Paintings/Winter Memory - oil on canvas 36 x 48.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Winter Memory - oil on canvas 36 x 48.jpg",,"82",,2012-03-13,,"Winter Memory ",2600,,36,48,,"Oil on canvas"
"size:600,450
image:Art Tracker Paintings/Wonder Who Lives There.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Wonder Who Lives There.jpg",,"117",,2012-03-15,,"Wonder Who Lives There",800,,16,20,,"Mixed Media"
"size:2012,1664
image:Art Tracker Paintings/Yellow Gerberas - oil on canvas 8 x 10.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Yellow Gerberas - oil on canvas 8 x 10.jpg",,"55",,2012-02-28,"Sold","Yellow Gerberas",500,"SOLD",10,12,,"Oil on canvas"
"size:1388,1920
image:Art Tracker Paintings/Yellow Nasturtium - watercolor 10 x 14.JPG
imagewin:/C:/ArtTracker/Art Tracker Paintings/Yellow Nasturtium - watercolor 10 x 14.JPG",,"67",,2012-03-13,,"Yellow Nasturtium",650,,14,10,,"Watercolor"
"size:3097,3856
image:Art Tracker Paintings/Yellow On Blue - oil on panel 24 x 30.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Yellow On Blue - oil on panel 24 x 30.jpg",,"153",,2015-03-27,,"Yellow on Blue",750,"Galeria Uno",30,24,0.5,"oil on panel
"
"size:579,450
image:Art Tracker Paintings/Zinnia Lipstick Red - oil on canvas 12 x 16.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Zinnia Lipstick Red - oil on canvas 12 x 16.jpg",,"108",,2012-03-15,,"Zinnia Lipstick Red",700,,14,18,,"Oil on canvas"
