"InvImages","InvRefIDPrefix","InvRefID","InvRefIDSuffix","InvCreationDate","ArtworkStatus::Status","InvTitle","InvPrice","GalleryLocationfor Inventory::GalName","InvHeight","InvWidth","InvDepth","Medium::MedMedium"
"size:603,450
image:Art Tracker Paintings/Glacial Triangle - acrylic on canvas 12 x 16 Unframed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Glacial Triangle - acrylic on canvas 12 x 16 Unframed.jpg",,"90",,2012-03-15,,"Glacial Triangle",550,,12,16,,"Acrylic"
"size:605,450
image:Art Tracker Paintings/Glacier- oil on canvas 30 x 40.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Glacier- oil on canvas 30 x 40.jpg",,"89",,2012-03-15,,"Glacier",1800,,30,40,,"Oil on canvas"
"size:500,372
image:Art Tracker Paintings/Golden Fields - oil on canvas 12 x 16.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Golden Fields - oil on canvas 12 x 16.jpg",,"99",,2012-03-15,,"Golden Fields",550,,12,16,,"Oil on canvas"
"size:3963,2996
image:Art Tracker Paintings/Golden Light - oil on canvas 36 x 48 framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Golden Light - oil on canvas 36 x 48 framed.jpg",,"159",,2015-04-03,"Sold","Golden Light",,"SOLD",36,48,1,"Oil on canvas"
"size:612,450
image:Art Tracker Paintings/Grazing - oil on canvas 18 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Grazing - oil on canvas 18 x 24.jpg",,"103",,2012-03-15,,"Grazing",1100,,18,24,,"Oil on canvas"
"size:1818,1350
image:Art Tracker Paintings/Gumboot Cafe 1 - watercolor 5 x 7.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Gumboot Cafe 1 - watercolor 5 x 7.jpg",,"72",,2012-03-13,,"Gumboot Cafe 1 ",300,,5,7,,"Watercolor"
"size:3606,2901
image:Art Tracker Paintings/Hamaca - oil on panel 11 x 14 floater framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Hamaca - oil on panel 11 x 14 floater framed.jpg",,"146",,2015-03-27,,"Hamaca",300,"Galeria Uno",11,14,1,"oil on panel
"
"size:240,164
image:Art Tracker Paintings/Hidden Away.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Hidden Away.jpg",,"71",,2012-03-13,,"Hidden Away",325,,5,8,,"Watercolor"
"size:2120,1424
image:Art Tracker Paintings/Horseshoe Bay - acrylic on canvas 24 x 36.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Horseshoe Bay - acrylic on canvas 24 x 36.jpg",,"27",,2012-02-16,"Available","Horseshoe Bay",1700,"Vancouver home",24,36,,"Acrylic"
"size:595,450
image:Art Tracker Paintings/House In Virgini oil on canvas 18 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/House In Virgini oil on canvas 18 x 24.jpg",,"114",,2012-03-15,,"House In Virginia",1000,,18,24,,"Oil on canvas"
"size:2072,1556
image:Art Tracker Paintings/In a Burnaby Alley - oil on canvas 18 x 24 framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/In a Burnaby Alley - oil on canvas 18 x 24 framed.jpg",,"26",,2012-02-16,,"In a Burnaby Alley",1100,,18,24,,"Oil on canvas"
"size:3600,2678
image:Art Tracker Paintings/In Comala- oil on panel 6 x 8.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/In Comala- oil on panel 6 x 8.jpg",,"150",,2015-03-27,,"In Comala",200,"Galeria Uno",6,8,1,"oil on panel
"
"size:85,56
image:Art Tracker Paintings/In La Manzanilla 1.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/In La Manzanilla 1.jpg",,"129",,2012-03-15,,"In La Manzanilla 1",1550,"Mexico Studio",24,36,,"Oil on canvas"
"size:3963,2988
image:Art Tracker Paintings/In Santa Cruz- oil on canvas 18 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/In Santa Cruz- oil on canvas 18 x 24.jpg",,"113",,2012-03-15,,"In Santa Cruz",1100,,18,24,,"Acrylic"
"size:3070,3917
image:Art Tracker Paintings/In The Jungle - oil on panel 14 x 18.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/In The Jungle - oil on panel 14 x 18.jpg",,"169",,2015-04-05,"Sold","In the Jungle",,"SOLD",18,14,0.75,"oil on panel
"
"size:1960,1604
image:Art Tracker Paintings/Indigo Night - acrylic 20 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Indigo Night - acrylic 20 x 24.jpg",,"3",,2012-02-16,,"Indigo Night",1200,"Gallery 223",20,24,,"Acrylic"
"size:738,357
image:Art Tracker Paintings/Jericho Sailing Club-  oil on canvas 14 x 28.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Jericho Sailing Club-  oil on canvas 14 x 28.jpg",,"87",,2012-03-13,,"Jericho Sailing Club",950,,14,28,,"Oil on canvas"
"size:226,111
image:Art Tracker Paintings/Jericho Beach - oil on canvas 14 x 28.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Jericho Beach - oil on canvas 14 x 28.jpg",,"88",,2012-03-13,,"Jerico Beach",950,"Overhead Door",14,28,,"Oil on canvas"
"size:1716,2276
image:Art Tracker Paintings/Jungle Flower - oil on canvas 24 x 18 Unframed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Jungle Flower - oil on canvas 24 x 18 Unframed.jpg",,"11",,2012-02-16,"Sold","Jungle Flower",1000,,24,18,,"Oil on canvas"
"size:702,1024
image:Art Tracker Paintings/Kellys Colors - collage  16 x 20 framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Kellys Colors - collage  16 x 20 framed.jpg",,"80",,2012-03-13,,"Kelly's Colors",725,,20,16,,"Mixed Media"
"size:2278,1821
image:Art Tracker Paintings/La Teresita.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/La Teresita.jpg",,"143",,2012-12-08,"Available","La Teresita",5400,"GaleriaLaManzanilla",16.5,20.5,,"oil on panel
"
"size:2417,1976
image:Art Tracker Paintings/La Troca - oil on panel 17 x 21.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/La Troca - oil on panel 17 x 21.jpg",,"141",,2012-12-08,"Available","La Troca",5400,"GaleriaLaManzanilla",17,21,1.5,"oil on panel
"
"size:3709,2868
image:Art Tracker Paintings/La Troca 2  - oil on panel 16 x 21.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/La Troca 2  - oil on panel 16 x 21.jpg",,"140",,2012-12-08,"Available","La Troca 2",5400,"Galeria Uno",16,21,,"oil on panel
"
"size:571,450
image:Art Tracker Paintings/Lake Louise 2 - oil on canvas 22 x 28.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Lake Louise 2 - oil on canvas 22 x 28.jpg",,"58",,2012-03-13,,"Lake Louise 2",1550,,22,28,,"Oil on canvas"
"size:864,576
image:Art Tracker Paintings/LittleCabinInTheWoodsOilOnCanvas16x20.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/LittleCabinInTheWoodsOilOnCanvas16x20.jpg",,"75",,2012-03-13,,"Little Cabin In The Woods ",800,,16,20,,"Oil on canvas"
"size:1704,2064
image:Art Tracker Paintings/Loco - oil on canvas 20 x 16 Framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Loco - oil on canvas 20 x 16 Framed.jpg",,"21",,2012-02-16,"Available","Loco",900,"Mexico Studio",20,16,,"Oil on canvas"
"size:532,450
image:Art Tracker Paintings/Looking In - acrylic on canvas 20 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Looking In - acrylic on canvas 20 x 24.jpg",,"112",,2012-03-15,,"Looking In",1200,,20,24,,"Acrylic"
"size:2236,1488
image:Art Tracker Paintings/Magic Hour Near the Crocs - oil on canvas 20 x 30.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Magic Hour Near the Crocs - oil on canvas 20 x 30.jpg",,"10",,2012-02-16,,"Magic Hour near the Crocs",1300,"Mexico Studio",20,30,,"Oil on canvas"
"size:2352,1551
image:Art Tracker Paintings/Magic Hour Shadows oil on canvas 24 x 36.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Magic Hour Shadows oil on canvas 24 x 36.jpg",,"8",,2012-02-16,,"Magic Hour Shadows
 at the Beach",1550,"Mexico Studio",24,36,,"Oil on canvas"
"size:2269,1688
image:Art Tracker Paintings/Martins Restaurant - oil on canvas 12 x 16  Unframed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Martins Restaurant - oil on canvas 12 x 16  Unframed.jpg",,"13",,2012-02-16,"Sold","Martin's Restaurant",550,,12,16,,"Oil on canvas"
"size:2204,1484
image:Art Tracker Paintings/Mauve Blue Yellow Sombrillas - acrylic 20 x 30 Framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Mauve Blue Yellow Sombrillas - acrylic 20 x 30 Framed.jpg",,"12",,2012-02-16,"Sold","Mauve, Blue, Yellowv Sombrillas",1450,,20,30,,"Acrylic"
"size:240,172
image:Art Tracker Paintings/Near Cochrane - w0atercolor16 x 20 Matted (2).jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Near Cochrane - w0atercolor16 x 20 Matted (2).jpg",,"70",,2012-03-13,,"Near Cochrane",650,,10,14,,"Watercolor"
"size:2940,2211
image:Art Tracker Paintings/New Plates - acrylic on canvas 18 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/New Plates - acrylic on canvas 18 x 24.jpg",,"43",,2012-02-24,"Available","New Plates",1000,"GaleriaLaManzanilla",18,24,,"Acrylic"
"size:1731,1041
image:Art Tracker Paintings/Night Market - oil on canvas 20 x 32.JPG
imagewin:/C:/ArtTracker/Art Tracker Paintings/Night Market - oil on canvas 20 x 32.JPG",,"118",,2012-03-15,,"Night Market",1600,,20,32,,"Oil on canvas"
"size:1024,691
image:Art Tracker Paintings/No Place Like Home -oil on canvas 24 x 36 framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/No Place Like Home -oil on canvas 24 x 36 framed.jpg",,"131",,2012-03-15,,"No Place Like Home",1700,,24,36,,"Oil on canvas"
"size:1887,1413
image:Art Tracker Paintings/On Texada - watercolor 5 x 7.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/On Texada - watercolor 5 x 7.jpg",,"59",,2012-03-13,,"On Texada",300,,5,7,,"Watercolor"
"size:166,240
image:Art Tracker Paintings/On the Porch.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/On the Porch.jpg",,"77",,2012-03-13,,"On the Porch",400,,7,10,,"Watercolor"
"size:3729,3114
image:Art Tracker Paintings/Outdoor Laundry - oil on canvas 20 x 24  unframed.JPG
imagewin:/C:/ArtTracker/Art Tracker Paintings/Outdoor Laundry - oil on canvas 20 x 24  unframed.JPG",,"119",,2012-03-15,,"Outdoor Laundry",1100,,20,24,,"Oil on canvas"
"size:491,382
image:Art Tracker Paintings/Primroses At Mandevilles.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Primroses At Mandevilles.jpg",,"83",,2012-03-13,,"Primroses At Mandevilles",600,,11,14,,"Oil on canvas"
"size:2833,2105
image:Art Tracker Paintings/Rayas - oil on panel 16.5 x 22.25.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Rayas - oil on panel 16.5 x 22.25.jpg",,"50",,2012-02-25,"Available","Rayas",1000,"Mexico Studio",16.5,22.5,,"oil on panel
"
"size:1024,500
image:Art Tracker Paintings/Reaching Out - oil on canvas 12 x 24 framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Reaching Out - oil on canvas 12 x 24 framed.jpg",,"66",,2012-03-13,,"Reaching Out",700,,12,24,,"Oil on canvas"
"size:592,393
image:Art Tracker Paintings/Red Reflections.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Red Reflections.jpg",,"127",,2012-03-15,,"Red Reflections",1550,,24,36,,"Oil on canvas"
"size:338,447
image:Art Tracker Paintings/Reflecting Pond - oil on canvas 18 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Reflecting Pond - oil on canvas 18 x 24.jpg",,"57",,2012-03-13,,"Reflecting Pond",1000,,24,18,,"Oil on canvas"
"size:1024,768
image:Art Tracker Paintings/Reflection.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Reflection.jpg",,"24",,2012-02-16,,"Reflection",2800,,36,48,,"Oil on canvas"
"size:2828,2298
image:Art Tracker Paintings/Restaurant In Barra - oil on canvas 16 x 20.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Restaurant In Barra - oil on canvas 16 x 20.jpg",,"37",,2012-02-23,,"Restaurante in Barra",800,,16,20,,"Oil on canvas"
"size:571,452
image:Art Tracker Paintings/Ribbons - oil on canvas 11 x 14.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Ribbons - oil on canvas 11 x 14.jpg",,"5",,2012-02-16,"Sold","Ribbons",600,"GaleriaLaManzanilla",11,14,,"Oil on canvas"
